geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1132,-23.5193,-46.6498,Sao Paulo,SP
1108,-23.5238,-46.6324,Sao Paulo,SP
1107,-23.522,-46.634,Sao Paulo,SP
1154,-23.5316,-46.6617,Sao Paulo,SP
1152,-23.5292,-46.6521,Sao Paulo,SP
1134,-23.5187,-46.6531,São Paulo,SP
1144,-23.5236,-46.672,Sao Paulo,SP
1129,-23.5259,-46.6421,Sao Paulo,SP
1105,-23.5337,-46.6306,Sao Paulo,SP
1126,-23.5292,-46.6404,Sao Paulo,SP
1142,-23.5199,-46.6251,Sao Paulo,SP
1133,-23.5226,-46.651,Sao Paulo,SP
1101,-23.5337,-46.6333,Sao Paulo,SP
1189,-23.5321,-46.6384,Sao Paulo,SP
1202,-23.5302,-46.6509,São Paulo,SP
1230,-23.5327,-46.6543,Sao Paulo,SP
1221,-23.546,-46.649,Sao Paulo,SP
1217,-23.5338,-46.6494,Sao Paulo,SP
1243,-23.5495,-46.6551,Sao Paulo,SP
1203,-23.5371,-46.6444,Sao Paulo,SP
1214,-23.5357,-46.6414,Sao Paulo,SP
1257,-23.5451,-46.6844,Sao Paulo,SP
1231,-23.5367,-46.6596,Sao Paulo,SP
1216,-23.536,-46.6514,Sao Paulo,SP
1226,-23.5345,-46.655,São Paulo,SP
1220,-23.5428,-46.6455,Sao Paulo,SP
1223,-23.5438,-46.6483,Sao Paulo,SP
1213,-23.5364,-46.64,Sao Paulo,SP
1227,-23.5373,-46.6544,Sao Paulo,SP
1240,-23.5438,-46.6586,Sao Paulo,SP
1258,-23.545,-46.6856,Sao Paulo,SP
1222,-23.5472,-46.6499,São Paulo,SP
1211,-23.5358,-46.6516,Sao Paulo,SP
1244,-23.545,-46.6597,Sao Paulo,SP
1238,-23.542,-46.6593,Sao Paulo,SP
1204,-23.5368,-46.6444,Sao Paulo,SP
1234,-23.5371,-46.6636,Sao Paulo,SP
1228,-23.5484,-46.659,Sao Paulo,SP
1224,-23.5417,-46.6488,Sao Paulo,SP
1229,-23.5411,-46.6573,Sao Paulo,SP
1232,-23.5368,-46.6551,Sao Paulo,SP
1218,-23.5315,-46.6507,São Paulo,SP
1215,-23.538,-46.6493,São Paulo,SP
1239,-23.5488,-46.6575,Sao Paulo,SP
1205,-23.5318,-46.6459,São Paulo,SP
1201,-23.5344,-46.6494,Sao Paulo,SP
1259,-23.5434,-46.6839,Sao Paulo,SP
1210,-23.5409,-46.6439,São Paulo,SP
1249,-23.5476,-46.6698,Sao Paulo,SP
1212,-23.5375,-46.6371,São Paulo,SP
1248,-23.5473,-46.6679,Sao Paulo,SP
1233,-23.5403,-46.6628,Sao Paulo,SP
1219,-23.5402,-46.6453,Sao Paulo,SP
1235,-23.5365,-46.6642,Sao Paulo,SP
1209,-23.5394,-46.6394,Sao Paulo,SP
1236,-23.5417,-46.6675,Sao Paulo,SP
1206,-23.5355,-46.6431,Sao Paulo,SP
1207,-23.5368,-46.6404,Sao Paulo,SP
1251,-23.547,-46.674,São Paulo,SP
1242,-23.5475,-46.6558,Sao Paulo,SP
1241,-23.5457,-46.657,São Paulo,SP
1208,-23.5408,-46.6397,Sao Paulo,SP
1254,-23.542,-46.6819,São Paulo,SP
1255,-23.5458,-46.6812,Sao Paulo,SP
1245,-23.5493,-46.6636,São Paulo,SP
1225,-23.5406,-46.6483,Sao Paulo,SP
1252,-23.5417,-46.6771,Sao Paulo,SP
1237,-23.5443,-46.6698,Sao Paulo,SP
1200,-23.5316,-46.6499,Sao Paulo,SP
1250,-23.5481,-46.6726,Sao Paulo,SP
1247,-23.5513,-46.6694,São Paulo,SP
1246,-23.5526,-46.6664,Sao Paulo,SP
1262,-23.5509,-46.6774,Sao Paulo,SP
1253,-23.5432,-46.6802,Sao Paulo,SP
1290,-23.541,-46.6577,São Paulo,SP
1256,-23.5486,-46.6833,São Paulo,SP
1303,-23.55,-46.6482,Sao Paulo,SP
1309,-23.5573,-46.6569,São Paulo,SP
1310,-23.5569,-46.6615,Sao Paulo,SP
1323,-23.5636,-46.641,Sao Paulo,SP
1321,-23.559,-46.6409,Sao Paulo,SP
1333,-23.5636,-46.6518,Sao Paulo,SP
1314,-23.5503,-46.6415,Sao Paulo,SP
1331,-23.5623,-46.6503,Sao Paulo,SP
1307,-23.5494,-46.6541,Sao Paulo,SP
1318,-23.565,-46.6473,Sao Paulo,SP
1322,-23.5642,-46.6436,Sao Paulo,SP
1308,-23.5552,-46.6523,Sao Paulo,SP
1306,-23.5543,-46.6497,Sao Paulo,SP
1301,-23.5508,-46.6553,Sao Paulo,SP
1302,-23.5477,-46.6436,Sao Paulo,SP
1312,-23.5536,-46.6483,Sao Paulo,SP
1319,-23.5516,-46.6402,São Paulo,SP
1316,-23.553,-46.6398,Sao Paulo,SP
1317,-23.5628,-46.6454,Sao Paulo,SP
1313,-23.5565,-46.6503,Sao Paulo,SP
1324,-23.5514,-46.6434,Sao Paulo,SP
1327,-23.5652,-46.6452,Sao Paulo,SP
1304,-23.5522,-46.653,Sao Paulo,SP
1332,-23.5599,-46.6531,Sao Paulo,SP
1326,-23.5589,-46.6452,Sao Paulo,SP
1315,-23.5526,-46.6407,Sao Paulo,SP
1325,-23.5604,-46.6441,Sao Paulo,SP
1329,-23.5631,-46.6466,Sao Paulo,SP
1330,-23.5568,-46.6499,Sao Paulo,SP
1311,-23.5606,-46.6576,Sao Paulo,SP
1305,-23.5561,-46.658,Sao Paulo,SP
1320,-23.5573,-46.6388,Sao Paulo,SP
1328,-23.5554,-46.6453,Sao Paulo,SP
1402,-23.5841,-46.67,Sao Paulo,SP
1421,-23.5623,-46.6612,São Paulo,SP
1403,-23.5703,-46.6532,São Paulo,SP
1409,-23.5614,-46.6576,Sao Paulo,SP
1411,-23.5685,-46.6648,Sao Paulo,SP
1452,-23.5688,-46.692,Sao Paulo,SP
1423,-23.5689,-46.657,Sao Paulo,SP
1417,-23.4885,-46.7146,Sao Paulo,SP
1408,-23.5694,-46.6634,Sao Paulo,SP
1455,-23.5807,-46.6875,Sao Paulo,SP
1401,-23.5697,-46.651,Sao Paulo,SP
1410,-23.5586,-46.6566,Sao Paulo,SP
1453,-23.5834,-46.6865,Sao Paulo,SP
1415,-23.5518,-46.6546,Sao Paulo,SP
1416,-23.5595,-46.6671,Sao Paulo,SP
1445,-23.5683,-46.6891,Sao Paulo,SP
1424,-23.5682,-46.6612,Sao Paulo,SP
1422,-23.5598,-46.6661,Sao Paulo,SP
1419,-23.5578,-46.6627,Sao Paulo,SP
1414,-23.5636,-46.6676,São Paulo,SP
1420,-23.5685,-46.6519,Sao Paulo,SP
1451,-23.5835,-46.6851,Sao Paulo,SP
1446,-23.5757,-46.6766,Sao Paulo,SP
1406,-23.5658,-46.658,São Paulo,SP
1454,-23.5821,-46.6864,Sao Paulo,SP
1426,-23.5626,-46.6697,Sao Paulo,SP
1413,-23.5586,-46.6607,São Paulo,SP
1433,-23.5819,-46.6685,São Paulo,SP
1427,-23.5735,-46.6611,São Paulo,SP
1405,-23.567,-46.657,Sao Paulo,SP
1435,-23.5797,-46.6696,Sao Paulo,SP
1449,-23.5763,-46.6814,Sao Paulo,SP
1425,-23.5723,-46.6608,Sao Paulo,SP
1430,-23.8816,-46.6438,Sao Paulo,SP
1404,-23.5699,-46.6571,Sao Paulo,SP
1442,-23.5637,-46.6753,Sao Paulo,SP
1407,-23.5785,-46.6752,Sao Paulo,SP
1418,-23.5631,-46.6566,Sao Paulo,SP
1472,-23.5705,-46.6913,Sao Paulo,SP
1443,-23.5675,-46.6847,Sao Paulo,SP
1428,-23.5765,-46.6593,Sao Paulo,SP
1434,-23.5779,-46.6695,Sao Paulo,SP
1457,-23.5788,-46.6909,Sao Paulo,SP
1412,-23.5644,-46.6668,São Paulo,SP
1448,-23.5774,-46.6782,Sao Paulo,SP
1456,-23.5785,-46.6901,Sao Paulo,SP
1432,-23.5744,-46.6642,Sao Paulo,SP
1441,-23.5757,-46.6895,São Paulo,SP
1489,-23.5766,-46.6874,Sao Paulo,SP
1429,-23.5752,-46.6631,São Paulo,SP
1450,-23.5749,-46.6851,Sao Paulo,SP
1440,-23.5645,-46.6744,Sao Paulo,SP
1438,-23.5703,-46.673,Sao Paulo,SP
1444,-23.6057,-46.7454,Sao Paulo,SP
1436,-23.5727,-46.6677,Sao Paulo,SP
1447,-23.5725,-46.6807,Sao Paulo,SP
1439,-23.5663,-46.6734,Sao Paulo,SP
1431,-23.5782,-46.6629,Sao Paulo,SP
1437,-23.571,-46.6697,Sao Paulo,SP
1526,-23.5669,-46.6301,Sao Paulo,SP
1509,-23.5676,-46.6355,Sao Paulo,SP
1504,-23.5638,-46.639,Sao Paulo,SP
1536,-23.5625,-46.6223,Sao Paulo,SP
1535,-23.5696,-46.6249,Sao Paulo,SP
1511,-23.5557,-46.6331,Sao Paulo,SP
1534,-23.5628,-46.6239,Sao Paulo,SP
1514,-23.5531,-46.6277,Sao Paulo,SP
1529,-23.5694,-46.6369,Sao Paulo,SP
1539,-23.5738,-46.6206,Sao Paulo,SP
1532,-23.5721,-46.6361,Sao Paulo,SP
1542,-23.5708,-46.6211,Sao Paulo,SP
1548,-23.5783,-46.6147,Sao Paulo,SP
1543,-23.5758,-46.6201,Sao Paulo,SP
1544,-23.5769,-46.6229,Sao Paulo,SP
1546,-23.5763,-46.6224,São Paulo,SP
1523,-23.5637,-46.6193,Sao Paulo,SP
1506,-23.5618,-46.6348,São Paulo,SP
1518,-23.5589,-46.6229,Sao Paulo,SP
1510,-23.5562,-46.6334,Sao Paulo,SP
1537,-23.569,-46.622,Sao Paulo,SP
1531,-23.5701,-46.6327,Sao Paulo,SP
1549,-23.5773,-46.6171,Sao Paulo,SP
1533,-23.5722,-46.6391,Sao Paulo,SP
1525,-23.567,-46.6375,Sao Paulo,SP
1520,-23.5592,-46.6183,Sao Paulo,SP
1550,-23.572,-46.6152,Sao Paulo,SP
1503,-23.5555,-46.6356,São Paulo,SP
1541,-23.5687,-46.6188,Sao Paulo,SP
1545,-23.5814,-46.6179,Sao Paulo,SP
1522,-23.5592,-46.6155,Sao Paulo,SP
1508,-23.5601,-46.6333,Sao Paulo,SP
1519,-23.5601,-46.6218,Sao Paulo,SP
1547,-23.582,-46.6232,Sao Paulo,SP
1538,-23.5732,-46.6229,São Paulo,SP
1501,-23.5519,-46.6357,São Paulo,SP
1521,-23.5601,-46.6208,Sao Paulo,SP
1530,-23.5861,-46.728,Sao Paulo,SP
1505,-23.5554,-46.6329,São Paulo,SP
1502,-23.555,-46.6357,Sao Paulo,SP
1551,-23.5766,-46.6122,Sao Paulo,SP
1540,-23.5646,-46.6205,Sao Paulo,SP
1528,-23.5633,-46.6257,Sao Paulo,SP
1513,-23.5569,-46.631,Sao Paulo,SP
1527,-23.5631,-46.6266,Sao Paulo,SP
1524,-23.567,-46.6161,Sao Paulo,SP
1507,-23.5582,-46.6316,São Paulo,SP
1512,-23.5536,-46.6326,Sao Paulo,SP
1552,-23.5738,-46.611,Sao Paulo,SP
1553,-23.5743,-46.6097,Sao Paulo,SP
1516,-23.5595,-46.6145,Sao Paulo,SP
1517,-23.5602,-46.6248,Sao Paulo,SP
2019,-23.4983,-46.6286,Sao Paulo,SP
2069,-23.5069,-46.6143,Sao Paulo,SP
2067,-23.5059,-46.6064,Sao Paulo,SP
2020,-23.4991,-46.6323,Sao Paulo,SP
2075,-23.502,-46.6003,Sao Paulo,SP
2012,-23.5084,-46.6275,Sao Paulo,SP
2076,-23.5069,-46.5989,Sao Paulo,SP
2035,-23.5004,-46.6223,São Paulo,SP
2034,-23.5041,-46.6246,Sao Paulo,SP
2022,-23.5062,-46.6404,São Paulo,SP
2021,-23.4994,-46.6338,Sao Paulo,SP
2080,-23.4978,-46.6066,Sao Paulo,SP
2066,-23.5088,-46.603,Sao Paulo,SP
2085,-23.4974,-46.6126,Sao Paulo,SP
2030,-23.5048,-46.6247,Sao Paulo,SP
2064,-23.5198,-46.596,Sao Paulo,SP
2029,-23.5109,-46.6201,Sao Paulo,SP
2060,-23.5189,-46.6038,Sao Paulo,SP
2054,-23.5164,-46.6057,Sao Paulo,SP
2072,-23.5008,-46.6043,Sao Paulo,SP
2017,-23.5014,-46.6392,São Paulo,SP
2018,-23.4935,-46.6311,Sao Paulo,SP
2043,-23.4902,-46.6173,Sao Paulo,SP
2074,-23.5091,-46.5935,Sao Paulo,SP
2038,-23.4986,-46.6234,Sao Paulo,SP
2016,-23.501,-46.6271,Sao Paulo,SP
2040,-23.489,-46.6219,Sao Paulo,SP
2056,-23.5106,-46.6041,São Paulo,SP
2051,-23.5123,-46.6087,Sao Paulo,SP
2041,-23.4901,-46.6197,Sao Paulo,SP
2039,-23.4923,-46.6205,Sao Paulo,SP
2073,-23.5012,-46.6075,Sao Paulo,SP
2082,-23.4947,-46.6097,Sao Paulo,SP
2033,-23.5022,-46.6169,Sao Paulo,SP
2013,-23.5031,-46.6338,Sao Paulo,SP
2079,-23.5004,-46.6026,Sao Paulo,SP
2037,-23.5,-46.6187,Sao Paulo,SP
2083,-23.4955,-46.5993,Sao Paulo,SP
2068,-23.5032,-46.613,Sao Paulo,SP
2071,-23.5031,-46.6097,Sao Paulo,SP
2047,-23.5184,-46.6142,Sao Paulo,SP
2078,-23.5025,-46.5937,Sao Paulo,SP
2044,-23.4957,-46.6189,Sao Paulo,SP
2084,-23.4957,-46.5995,Sao Paulo,SP
2055,-23.513,-46.6083,Sao Paulo,SP
2042,-23.488,-46.619,Sao Paulo,SP
2045,-23.4944,-46.6173,Sao Paulo,SP
2036,-23.5021,-46.622,Sao Paulo,SP
2046,-23.4877,-46.6115,Sao Paulo,SP
2010,-23.5149,-46.6264,São Paulo,SP
2081,-23.4966,-46.605,Sao Paulo,SP
2050,-23.5165,-46.6106,São Paulo,SP
2052,-23.5095,-46.6069,Sao Paulo,SP
2031,-23.5151,-46.6253,Sao Paulo,SP
2028,-23.5075,-46.6175,Sao Paulo,SP
2065,-23.5017,-46.6024,Sao Paulo,SP
2077,-23.501,-46.5963,Sao Paulo,SP
2011,-23.5019,-46.6262,Sao Paulo,SP
2049,-23.515,-46.6161,São Paulo,SP
2032,-23.5108,-46.6239,Sao Paulo,SP
2053,-23.5104,-46.6012,Sao Paulo,SP
2009,-23.5158,-46.6411,Sao Paulo,SP
2089,-23.5171,-46.6167,Sao Paulo,SP
2088,-23.5042,-46.6207,Sao Paulo,SP
2150,-23.4958,-46.5685,Sao Paulo,SP
2133,-23.5003,-46.5856,Sao Paulo,SP
2167,-23.5229,-46.5818,Sao Paulo,SP
2130,-23.5081,-46.5828,São Paulo,SP
2188,-23.5075,-46.5657,Sao Paulo,SP
2152,-23.4982,-46.5732,São Paulo,SP
2138,-23.4957,-46.5758,Sao Paulo,SP
2134,-23.4993,-46.5781,Sao Paulo,SP
2176,-23.5123,-46.5737,Sao Paulo,SP
2117,-23.5202,-46.5935,Sao Paulo,SP
2119,-23.5136,-46.593,Sao Paulo,SP
2131,-23.5028,-46.5818,Sao Paulo,SP
2124,-23.5064,-46.5807,Sao Paulo,SP
2129,-23.5052,-46.5895,Sao Paulo,SP
2132,-23.4983,-46.5804,Sao Paulo,SP
2110,-23.5219,-46.5937,Sao Paulo,SP
2135,-23.4988,-46.5736,Sao Paulo,SP
2127,-23.5024,-46.5827,Sao Paulo,SP
2114,-23.5229,-46.5918,Sao Paulo,SP
2178,-23.5198,-46.5703,São Paulo,SP
2177,-23.5111,-46.5698,Sao Paulo,SP
2120,-23.5104,-46.5942,São Paulo,SP
2161,-23.4913,-46.5708,São Paulo,SP
2112,-23.5127,-46.5867,São Paulo,SP
2126,-23.5069,-46.5916,Sao Paulo,SP
2169,-23.5193,-46.5758,Sao Paulo,SP
2123,-23.5108,-46.578,Sao Paulo,SP
2189,-23.5076,-46.5662,São Paulo,SP
2128,-23.504,-46.5946,Sao Paulo,SP
2179,-23.5195,-46.5673,Sao Paulo,SP
2136,-23.4983,-46.5785,São Paulo,SP
2174,-23.5231,-46.5719,Sao Paulo,SP
2186,-23.5134,-46.5688,Sao Paulo,SP
2137,-23.5018,-46.5719,Sao Paulo,SP
2185,-23.5123,-46.5678,Sao Paulo,SP
2181,-23.5209,-46.5627,São Paulo,SP
2180,-23.52,-46.5659,Sao Paulo,SP
2111,-23.5158,-46.592,Sao Paulo,SP
2187,-23.5151,-46.5649,Sao Paulo,SP
2121,-23.5118,-46.5892,Sao Paulo,SP
2190,-23.5099,-46.5632,Sao Paulo,SP
2139,-23.4941,-46.5734,São Paulo,SP
2143,-23.508,-46.5752,Sao Paulo,SP
2122,-23.5132,-46.5826,Sao Paulo,SP
2115,-23.5265,-46.5919,Sao Paulo,SP
2118,-23.5166,-46.5948,Sao Paulo,SP
2125,-23.508,-46.5885,Sao Paulo,SP
2113,-23.5153,-46.5873,Sao Paulo,SP
2147,-23.4996,-46.5652,São Paulo,SP
2141,-23.4891,-46.5756,São Paulo,SP
2170,-23.5254,-46.5761,São Paulo,SP
2166,-23.5251,-46.5837,Sao Paulo,SP
2175,-23.5167,-46.5745,Sao Paulo,SP
2168,-23.5202,-46.5788,São Paulo,SP
2116,-23.5227,-46.5875,Sao Paulo,SP
2145,-23.5015,-46.5653,Sao Paulo,SP
2151,-23.4935,-46.5665,Sao Paulo,SP
2146,-23.501,-46.5709,Sao Paulo,SP
2144,-23.5051,-46.5708,Sao Paulo,SP
2162,-23.4903,-46.5619,São Paulo,SP
2142,-23.5099,-46.5755,Sao Paulo,SP
2251,-23.4799,-46.5955,Sao Paulo,SP
2256,-23.4761,-46.5876,São Paulo,SP
2246,-23.4919,-46.602,Sao Paulo,SP
2223,-23.4787,-46.5811,Sao Paulo,SP
2225,-23.4803,-46.5759,Sao Paulo,SP
2204,-23.4837,-46.5899,Sao Paulo,SP
2235,-23.4794,-46.579,Sao Paulo,SP
2245,-23.4835,-46.606,Sao Paulo,SP
2243,-23.4908,-46.5984,Sao Paulo,SP
2208,-23.481,-46.5855,Sao Paulo,SP
2222,-23.4846,-46.5779,Sao Paulo,SP
2232,-23.4762,-46.5611,Sao Paulo,SP
2203,-23.4917,-46.5902,Sao Paulo,SP
2250,-23.4865,-46.5947,Sao Paulo,SP
2263,-23.4635,-46.5772,São Paulo,SP
2238,-23.4702,-46.5648,Sao Paulo,SP
2261,-23.4674,-46.5772,Sao Paulo,SP
2267,-23.4764,-46.5982,Sao Paulo,SP
2270,-23.4728,-46.5946,Sao Paulo,SP
2227,-23.4833,-46.5693,Sao Paulo,SP
2273,-23.4589,-46.5857,Sao Paulo,SP
2244,-23.4905,-46.6064,Sao Paulo,SP
2229,-23.4793,-46.5679,Sao Paulo,SP
2215,-23.4911,-46.5851,Sao Paulo,SP
2259,-23.4716,-46.5804,São Paulo,SP
2228,-23.4801,-46.5698,Sao Paulo,SP
2254,-23.4851,-46.5962,Sao Paulo,SP
2218,-23.4867,-46.5841,Sao Paulo,SP
2247,-23.4849,-46.6021,Sao Paulo,SP
2226,-23.4846,-46.5719,Sao Paulo,SP
2274,-23.4682,-46.585,Sao Paulo,SP
2220,-23.4907,-46.5779,Sao Paulo,SP
2217,-23.4903,-46.5803,São Paulo,SP
2265,-23.4765,-46.5955,São Paulo,SP
2276,-23.4599,-46.5845,Sao Paulo,SP
2242,-23.4881,-46.6077,Sao Paulo,SP
2269,-23.4746,-46.5962,São Paulo,SP
2221,-23.482,-46.5806,Sao Paulo,SP
2279,-23.4605,-46.5759,Sao Paulo,SP
2249,-23.4911,-46.5952,Sao Paulo,SP
2237,-23.465,-46.5696,Sao Paulo,SP
2206,-23.4871,-46.5899,São Paulo,SP
2258,-23.4762,-46.5821,Sao Paulo,SP
2236,-23.4746,-46.5689,Sao Paulo,SP
2205,-23.4891,-46.5886,Sao Paulo,SP
2241,-23.4905,-46.6074,Sao Paulo,SP
2219,-23.4879,-46.5809,Sao Paulo,SP
2257,-23.4717,-46.5852,Sao Paulo,SP
2230,-23.4827,-46.5649,Sao Paulo,SP
2210,-23.4865,-46.5793,Sao Paulo,SP
2266,-23.4735,-46.5942,São Paulo,SP
2211,-23.497,-46.5959,Sao Paulo,SP
2280,-23.4542,-46.5738,Sao Paulo,SP
2278,-23.4635,-46.5818,Sao Paulo,SP
2264,-23.4631,-46.5773,São Paulo,SP
2201,-23.4856,-46.5922,São Paulo,SP
2253,-23.4795,-46.5969,Sao Paulo,SP
2281,-23.4492,-46.5744,Sao Paulo,SP
2248,-23.4822,-46.6,Sao Paulo,SP
2255,-23.476,-46.5915,Sao Paulo,SP
2277,-23.4627,-46.582,Sao Paulo,SP
2272,-23.4699,-46.5879,Sao Paulo,SP
2271,-23.4689,-46.5881,Sao Paulo,SP
2282,-23.4456,-46.5675,Sao Paulo,SP
2224,-23.4814,-46.567,Sao Paulo,SP
2275,-23.4651,-46.5905,Sao Paulo,SP
2233,-23.4754,-46.5643,Sao Paulo,SP
2209,-23.4851,-46.5824,Sao Paulo,SP
2212,-23.4945,-46.5884,Sao Paulo,SP
2288,-23.4329,-46.5713,Sao Paulo,SP
2260,-23.4693,-46.5755,Sao Paulo,SP
2234,-23.4763,-46.5684,São Paulo,SP
2213,-23.4929,-46.5845,Sao Paulo,SP
2202,-23.4931,-46.5944,Sao Paulo,SP
2262,-23.4667,-46.5759,Sao Paulo,SP
2216,-23.4945,-46.5778,Sao Paulo,SP
2214,-23.4936,-46.5858,São Paulo,SP
2268,-23.4688,-46.5934,Sao Paulo,SP
2207,-23.4859,-46.5907,Sao Paulo,SP
2239,-23.4839,-46.6087,Sao Paulo,SP
2252,-23.4793,-46.5904,Sao Paulo,SP
2240,-23.4801,-46.6041,Sao Paulo,SP
2231,-23.4779,-46.5641,São Paulo,SP
2290,-23.5433,-46.6307,Sao Paulo,SP
2284,-23.4697,-46.5687,Sao Paulo,SP
2289,-23.4171,-46.5836,Sao Paulo,SP
2286,-23.4086,-46.5796,Sao Paulo,SP
2309,-23.4773,-46.6043,Sao Paulo,SP
2377,-23.4568,-46.6325,Sao Paulo,SP
2371,-23.4609,-46.62,Sao Paulo,SP
2323,-23.5028,-46.5736,Sao Paulo,SP
2311,-23.4678,-46.6007,Sao Paulo,SP
2374,-23.4565,-46.6206,Sao Paulo,SP
2316,-23.462,-46.5947,Sao Paulo,SP
2366,-23.4298,-46.5929,Sao Paulo,SP
2321,-23.4475,-46.5885,Sao Paulo,SP
2315,-23.4634,-46.5965,Sao Paulo,SP
2330,-23.4851,-46.6157,São Paulo,SP
2319,-23.4502,-46.5897,São Paulo,SP
2312,-23.4641,-46.6024,São Paulo,SP
2341,-23.457,-46.6145,São Paulo,SP
2334,-23.485,-46.6193,São Paulo,SP
2347,-23.4607,-46.6056,Sao Paulo,SP
2365,-23.4248,-46.5805,Sao Paulo,SP
2375,-23.4539,-46.6261,Sao Paulo,SP
2372,-23.459,-46.6237,São Paulo,SP
2367,-23.4231,-46.5873,Sao Paulo,SP
2343,-23.4701,-46.6063,Sao Paulo,SP
2306,-23.4524,-46.6015,Sao Paulo,SP
2313,-23.4652,-46.5985,Sao Paulo,SP
2305,-23.4804,-46.6065,Sao Paulo,SP
2340,-23.4669,-46.6161,Sao Paulo,SP
2360,-23.4353,-46.578,Sao Paulo,SP
2344,-23.4688,-46.6113,Sao Paulo,SP
2348,-23.4599,-46.6125,Sao Paulo,SP
2322,-23.4485,-46.598,Sao Paulo,SP
2356,-23.4501,-46.611,Sao Paulo,SP
2352,-23.4545,-46.5943,Sao Paulo,SP
2358,-23.4464,-46.6095,Sao Paulo,SP
2308,-23.4756,-46.6015,Sao Paulo,SP
2318,-23.4549,-46.5927,Sao Paulo,SP
2337,-23.4765,-46.6127,São Paulo,SP
2342,-23.4741,-46.6109,Sao Paulo,SP
2355,-23.4536,-46.6115,São Paulo,SP
